task,system,basis,control,n_hidden,network_seed,converged,accuracy,hidden_unit,best_freq,best_R,best_phase,best_freq_cos,best_R_cos,concentration,null_p,null_mean,null_p95,pitch_height_r,random_r_p95
iran_interval_separate,Iranian-17,dft,input_shuffled,7,626362257,False,0.902,0,12,0.9763,-0.0,12,0.9763,0.5936,0.0005,0.6084,0.7396,0.0365,0.5145
iran_interval_separate,Iranian-17,dft,input_shuffled,7,626362257,False,0.902,1,4,0.8536,0.8813,4,0.5227,0.5156,0.0075,0.6178,0.7648,0.1867,0.4339
iran_interval_separate,Iranian-17,dft,input_shuffled,7,626362257,False,0.902,2,10,0.8279,-2.1334,10,0.4614,0.4681,0.0065,0.6061,0.7408,0.1318,0.4967
iran_interval_separate,Iranian-17,dft,input_shuffled,7,626362257,False,0.902,3,7,0.6339,2.5461,7,0.526,0.2872,0.29935,0.6003,0.729,0.1172,0.4676
iran_interval_separate,Iranian-17,dft,input_shuffled,7,626362257,False,0.902,4,5,0.7771,3.0972,5,0.7763,0.4169,0.02549,0.6069,0.7469,0.0526,0.4419
iran_interval_separate,Iranian-17,dft,input_shuffled,7,626362257,False,0.902,5,1,0.9036,1.6859,7,0.207,0.5605,0.0025,0.6138,0.7661,0.838,0.4093
iran_interval_separate,Iranian-17,dft,input_shuffled,7,626362257,False,0.902,6,6,0.8251,0.1458,6,0.8214,0.5921,0.01149,0.61,0.7594,0.2493,0.4756
iran_interval_separate,Iranian-17,dft,label_shuffled,7,626362257,False,0.6536,0,11,0.6947,1.1532,5,0.3752,0.3332,0.11844,0.6057,0.7349,0.3363,0.5327
iran_interval_separate,Iranian-17,dft,label_shuffled,7,626362257,False,0.6536,1,3,0.7,-0.5273,3,0.6099,0.3539,0.11594,0.6021,0.7437,0.15,0.4674
iran_interval_separate,Iranian-17,dft,label_shuffled,7,626362257,False,0.6536,2,1,0.5206,0.0281,1,0.5203,0.1828,0.86157,0.595,0.7247,0.2425,0.5005
iran_interval_separate,Iranian-17,dft,label_shuffled,7,626362257,False,0.6536,3,2,0.5789,-2.6518,2,0.5177,0.2383,0.57821,0.6055,0.7503,0.1373,0.4783
iran_interval_separate,Iranian-17,dft,label_shuffled,7,626362257,False,0.6536,4,10,0.6959,2.8401,10,0.668,0.351,0.05697,0.5851,0.703,0.0927,0.4471
iran_interval_separate,Iranian-17,dft,label_shuffled,7,626362257,False,0.6536,5,10,0.5745,1.2585,11,0.42,0.2341,0.63318,0.6065,0.7485,0.2763,0.4588
iran_interval_separate,Iranian-17,dft,label_shuffled,7,626362257,False,0.6536,6,4,0.595,1.9302,9,0.4309,0.2484,0.50275,0.6025,0.7326,0.5993,0.4669
iran_interval_separate,Iranian-17,dft,none,7,789110592,False,0.915,0,5,0.8927,0.3793,5,0.8297,0.5433,0.0025,0.6151,0.7594,0.2034,0.5262
iran_interval_separate,Iranian-17,dft,none,7,789110592,False,0.915,1,10,0.5527,-3.0869,10,0.552,0.2112,0.73413,0.6038,0.74,0.2017,0.4785
iran_interval_separate,Iranian-17,dft,none,7,789110592,False,0.915,2,3,0.7927,-1.1408,9,0.4067,0.4455,0.01449,0.6037,0.7421,0.0038,0.4672
iran_interval_separate,Iranian-17,dft,none,7,789110592,False,0.915,3,9,0.7444,-0.741,9,0.5364,0.3742,0.05497,0.6086,0.7481,0.069,0.4691
